lst,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0
0,4.509,5.394,5.582,6.057,6.365,6.743,7.127,7.212,7.604,8.057,8.227,8.597,9.074,9.006,9.734,9.927,10.483,10.668,11.238,11.295,11.26,11.445,12.158,12.173,12.661,12.566,12.644,13.263,13.084,13.449,13.796,13.583,13.856,13.919,13.607,13.636,13.502,13.681,13.8,13.563,13.134,12.571,12.186,11.825,11.375,10.444,9.74,9.27,8.246,7.317,6.199
1,4.451,5.219,5.666,5.796,6.067,6.553,6.613,6.724,7.197,7.715,8.173,8.357,8.821,8.96,9.386,9.523,9.887,10.158,10.624,10.662,10.979,11.052,11.409,11.916,11.545,12.246,12.657,11.948,12.768,12.573,12.774,12.28,12.881,12.573,13.024,12.703,12.931,12.501,12.95,12.322,12.027,12.027,11.443,10.858,10.532,9.888,9.492,8.448,7.745,6.676,5.816
2,4.562,5.073,5.595,5.529,6.073,6.35,6.608,7.114,7.243,7.671,7.865,8.347,8.457,9.065,8.974,9.476,9.772,9.798,10.085,10.558,10.668,11.135,11.204,11.249,11.721,11.849,11.517,11.986,12.186,12.108,12.149,12.511,12.487,12.171,12.679,11.929,12.205,12.384,12.348,11.658,12.03,11.046,10.918,10.417,10.197,9.639,8.87,8.232,7.157,6.379,5.354
3,4.363,5.122,5.395,5.766,6.118,6.247,6.559,6.833,7.068,7.328,7.806,8.18,8.518,8.768,9.358,9.239,9.456,9.721,9.992,10.152,10.628,10.95,11.273,10.906,11.413,11.414,11.392,11.934,12.174,11.967,12.171,11.717,12.438,12.274,12.294,12.26,11.829,11.817,12.216,11.701,11.161,11.327,10.708,10.355,9.783,9.049,8.625,7.952,6.894,6.298,5.242
4,4.472,5.195,5.331,5.831,6.126,6.203,6.584,6.837,7.141,7.452,7.831,7.989,8.453,8.684,9.138,9.5,9.308,9.682,10.094,10.154,10.303,10.653,10.993,11.003,11.559,11.388,11.446,11.731,11.877,11.955,11.785,11.807,12.228,12.072,11.466,11.784,11.935,11.824,12.082,11.386,11.481,10.903,10.657,10.049,9.801,9.364,8.268,7.85,7.109,6.056,5.141
5,4.405,5.03,5.621,5.51,6.081,6.212,6.569,6.843,7.125,7.309,7.855,8.123,8.679,8.859,8.945,9.046,9.611,9.925,10.292,10.251,10.418,10.69,10.711,11.081,11.277,11.057,11.666,11.481,11.667,11.682,11.972,12.155,11.776,11.806,11.99,12.281,11.989,11.714,11.467,11.407,11.284,10.658,10.637,10.041,9.577,9.164,8.441,7.686,7.102,6.121,5.118
6,4.641,5.088,5.405,5.817,6.045,6.288,6.606,6.852,7.355,7.644,7.806,8.227,8.447,8.696,9.247,9.53,9.506,9.834,10.305,10.361,10.522,10.702,11.293,11.635,11.178,11.143,11.689,11.683,11.774,11.645,12.148,12.063,11.849,11.675,12.261,12.098,11.683,11.636,11.484,11.176,10.861,11.102,10.59,10.175,9.739,9.283,8.431,8.034,6.939,6.17,5.08
7,4.587,5.113,5.503,5.807,5.986,6.203,6.701,7.027,7.392,7.42,8.002,8.536,8.637,8.675,9.348,9.366,9.907,9.724,10.272,10.537,10.717,11.274,11.48,10.97,11.523,11.475,11.878,11.868,11.565,11.796,11.814,11.897,12.032,11.924,11.829,11.854,11.86,12.191,11.321,11.376,11.525,11.041,10.804,9.971,9.767,9.151,8.625,7.834,6.925,6.179,5.161
8,4.615,5.296,5.595,5.948,6.12,6.451,6.703,7.108,7.596,7.632,8.088,8.482,8.674,9.01,9.636,9.733,9.892,9.963,10.426,10.804,10.995,10.813,11.094,11.501,12.02,11.514,11.813,12.184,12.193,12.138,12.306,12.485,12.178,12.51,12.479,11.81,12.282,11.861,11.708,11.273,11.526,11.441,10.589,10.357,9.88,8.997,8.528,7.933,6.992,6.282,5.324
9,4.754,5.25,5.753,6.024,6.335,6.505,6.988,7.215,7.652,7.963,8.561,8.552,9.029,9.493,9.67,9.892,10.223,10.473,10.84,10.796,11.167,11.645,11.83,11.929,11.94,11.835,12.052,12.414,12.104,12.592,12.338,12.634,12.339,12.503,12.372,12.501,11.926,12.53,11.789,11.717,11.35,11.25,10.851,10.678,10.074,9.173,8.679,8.047,6.961,6.458,5.387
10,4.8,5.436,5.912,5.982,6.37,6.775,7.097,7.408,7.887,8.573,8.368,9.027,9.555,9.626,9.709,10.484,10.699,10.85,11.096,11.134,11.195,11.549,11.622,12.087,12.343,12.369,12.029,12.74,12.569,12.848,12.296,12.651,12.717,12.627,12.552,12.793,12.264,12.468,12.383,11.644,11.621,11.208,11.211,10.365,9.753,9.703,8.28,7.942,7.434,6.482,5.198
11,5.04,5.683,6.143,6.515,6.737,7.026,7.568,7.861,7.905,8.759,8.994,9.545,9.736,10.142,10.535,10.638,10.653,11.226,11.718,11.504,11.971,12.34,12.418,12.699,12.685,13.153,12.643,12.975,13.024,12.848,12.707,12.829,13.202,13.069,12.781,12.733,12.744,12.584,12.735,12.151,11.994,11.728,11.342,10.764,10.581,9.595,8.797,8.049,7.453,6.548,5.469
12,5.229,6.011,6.45,6.78,6.99,7.169,7.667,7.936,8.589,9.047,9.389,10.152,10.278,10.782,11.007,11.352,11.591,11.93,12.002,12.172,12.293,12.782,12.907,12.996,13.38,13.233,13.604,13.234,13.682,13.681,13.732,13.661,13.527,13.575,13.394,13.329,13.118,13.449,12.821,13.014,12.416,12.292,11.725,11.146,10.487,10.085,9.389,8.665,7.685,6.752,5.622
13,5.584,6.399,6.751,6.972,7.214,7.347,8.124,8.601,9.124,9.737,9.572,10.565,10.86,11.205,11.735,11.824,12.118,12.091,12.845,12.839,13.36,13.372,13.635,14.039,13.803,13.887,14.446,13.974,13.594,13.997,14.273,13.917,14.111,14.065,14.005,14.002,13.47,13.624,13.547,13.115,13.072,12.52,11.84,11.123,11.009,9.996,9.422,8.761,7.772,6.902,5.992
14,5.678,6.39,6.745,7.274,7.662,8.056,8.326,8.989,9.259,9.94,10.638,11.59,11.989,12.033,12.74,12.474,12.584,13.332,13.475,13.767,13.675,13.902,14.589,14.216,14.003,14.54,14.827,14.76,14.844,14.568,14.727,14.439,14.51,14.631,14.226,14.394,13.671,13.985,13.522,13.433,13.289,12.676,12.612,11.907,10.834,10.273,9.707,8.921,7.97,7.162,5.818
