lst,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0
0,11.672,11.321,11.039,11.53,11.546,11.289,11.171,10.908,11.168,10.749,10.96,10.52,11.11,10.896,10.688,10.459,10.413,10.55,10.547,10.659,10.443,10.268,10.391,10.411,10.292,10.2,10.093,10.112,10.028,9.656,9.872,9.903,9.67,9.916,10.044,9.842,9.5,9.409,9.503,9.494,9.616,9.549,9.455,9.299,9.291,9.398,9.54,9.222,9.373,9.341,1.378
1,10.428,10.347,10.34,10.476,10.027,10.488,10.024,10.235,10.021,10.288,9.709,9.909,9.819,9.658,9.866,9.704,9.543,9.565,9.742,9.533,9.587,9.424,9.688,9.778,9.358,9.443,9.196,9.384,9.319,9.039,9.294,8.977,8.948,9.101,8.858,9.097,9.226,9.019,8.753,8.701,8.919,8.785,8.693,8.842,8.968,8.674,8.729,8.536,8.688,8.547,1.349
2,9.615,9.836,9.864,9.568,9.301,9.639,9.318,9.499,9.754,9.292,9.317,9.352,9.047,9.109,9.099,8.742,8.92,9.191,9.413,9.142,8.885,9.014,8.915,8.894,8.722,8.701,8.87,8.731,8.392,8.83,8.661,8.679,8.329,8.605,8.519,8.296,8.361,8.243,8.121,8.254,8.293,8.315,8.401,8.307,8.159,8.283,8.131,8.233,8.295,8.395,1.297
3,9.37,9.147,9.186,9.365,9.234,9.297,9.0,9.168,9.09,9.028,9.1,8.826,9.227,8.957,8.914,8.84,8.974,8.711,8.848,8.521,8.895,8.565,8.412,8.848,8.533,8.572,8.415,8.567,8.402,8.273,8.383,8.552,8.255,8.146,8.317,8.134,8.196,8.227,8.021,8.08,8.29,8.349,8.041,8.26,7.998,7.765,7.65,8.065,7.778,7.723,1.251
4,9.459,9.387,9.347,9.064,8.911,9.121,9.185,9.056,8.955,8.591,8.903,9.259,8.825,8.571,8.828,8.725,8.503,8.905,8.903,8.662,8.727,8.661,8.415,8.307,8.284,8.575,8.249,8.247,8.456,8.285,8.424,8.127,8.123,8.254,8.342,8.355,8.08,8.01,8.014,7.948,7.687,7.838,8.009,7.902,8.119,7.837,7.701,7.785,8.051,7.774,1.229
5,9.471,9.269,9.485,9.073,8.843,8.997,9.087,8.815,8.569,9.044,9.175,9.038,8.953,8.982,8.554,8.815,8.6,8.584,8.898,8.452,8.634,8.676,8.549,8.207,8.398,8.512,8.287,8.245,8.223,8.527,8.146,8.324,8.304,8.034,8.169,8.342,7.967,8.111,7.9,8.146,8.111,7.792,7.801,7.892,7.763,8.157,7.89,7.871,7.865,7.659,1.249
6,9.321,9.374,9.322,9.158,9.259,9.375,9.008,9.095,9.002,9.05,8.748,9.162,8.823,8.756,8.677,8.992,8.793,8.629,8.518,8.721,8.765,8.473,8.668,8.46,8.587,8.796,8.419,8.351,8.666,8.384,8.394,8.235,8.487,8.017,8.278,8.107,8.332,8.262,8.152,7.989,8.109,8.227,7.912,7.861,7.892,7.909,7.954,7.876,7.804,7.79,1.203
7,9.317,9.466,9.446,9.655,9.324,9.378,9.081,9.414,9.227,9.111,9.143,9.136,9.137,8.806,8.881,8.849,8.751,9.106,8.94,8.961,8.65,8.812,8.661,9.066,8.71,8.773,8.418,8.404,8.275,8.321,8.355,8.427,8.344,8.372,8.436,8.505,8.346,8.097,7.947,8.114,7.883,8.208,8.265,7.812,8.066,7.885,8.028,7.933,7.847,7.961,1.31
8,9.678,9.594,9.653,9.618,9.604,9.787,9.643,9.627,9.708,9.447,9.4,9.231,9.139,9.167,9.294,9.092,9.222,8.812,9.125,9.174,9.01,9.006,8.813,8.683,8.974,9.083,8.848,8.649,8.631,8.672,8.522,8.758,8.473,8.333,8.246,8.501,8.324,8.58,8.38,8.256,8.365,8.33,7.991,8.336,8.044,8.228,8.087,8.17,8.167,7.934,1.315
